channel,n,n_valid,n_missing,mean,sd,median,mad,trimmed_mean_10,q1,q3,iqr,min,max,skewness,kurtosis,mean_ci95_low,mean_ci95_high,n_sessions
gFx,32,32,0,0.015450158557600693,0.011745993730575749,0.0174832519812736,0.012891840713858215,0.016291123073163452,0.006840923171207309,0.02341238705160421,0.016571463880396903,-0.009752455426962778,0.03653857319332922,-0.5400931857440554,-0.4015452540123512,0.011347613949977358,0.01927665521175699,32
gFy,32,32,0,-0.990243333675296,0.003276095245240722,-0.9899432998783548,0.0031065727780329494,-0.9901942592720824,-0.992170430175348,-0.9883213279450488,0.0038491022302992173,-0.9967016938898972,-0.9843322456244439,-0.08654877564144911,-0.41617202109108176,-0.9913841503239473,-0.9891568502947035,32
gFz,32,32,0,0.12586345122561274,0.026266165297704012,0.1272337101521405,0.02942391790498495,0.12659043336481685,0.1089806268712046,0.14815476470092329,0.03917413782971868,0.0764384150030248,0.1710754078908336,-0.16634759270596802,-0.9255427072517768,0.11677914925302901,0.13449649163826902,32
ax,32,32,0,-0.014931392866031304,0.029706384138838825,-0.00680877713932958,0.02477431159259668,-0.012653360196356397,-0.037448806484482476,0.002063670669486248,0.039512477153968724,-0.09988354506957049,0.04214212977336231,-0.7836235928972285,0.6069447172927349,-0.026132377905516,-0.005824370879958446,32
ay,32,32,0,-0.007669893475991572,0.02051504990356944,-0.004611429001753297,0.016206663365826973,-0.005771517645302781,-0.01672718476445377,0.0038120877075769506,0.02053927247203072,-0.06403352995963989,0.02621574389112279,-0.8597614721014848,0.8225109791914051,-0.015503066741655485,-0.001528442205617012,32
az,32,32,0,-0.01964322256035326,0.02972029488997025,-0.014335577447558711,0.02204962946024,-0.016989348829886577,-0.034685542208539616,-0.0015924603659429211,0.0330930818425967,-0.12712819000310463,0.023654770755885995,-1.4478211868808417,3.5069741080809242,-0.03290193843853483,-0.011310981328705047,32
wx,32,32,0,-0.0020335584354222525,0.0019380133870905401,-0.002217341813103544,0.001691215710204692,-0.0022088867826218525,-0.003316971116871612,-0.0011272370285134246,0.0021897340883581876,-0.005348742626513505,0.0026874573113939777,0.7479679413973156,0.3166603102425052,-0.0026185814468417646,-0.0013035528369907047,32
wy,32,32,0,0.009877164678713798,0.040509601239067175,0.011062702347185817,0.0066385185404421254,0.010967810245787146,0.006117522477345067,0.014270069260032724,0.008152546782687658,-0.09156898478733314,0.1023698090330403,-0.345374816322283,2.3307679375703048,-0.005376306814323711,0.022221319359951523,32
wz,32,32,0,-0.0014545923974998603,0.00363319796993155,-0.001267206011769835,0.0012399533787391184,-0.001356246731962091,-0.002225217007399557,-0.0005561856963935278,0.0016690313110060292,-0.011529517363154797,0.007982182890855456,-0.31721813422807255,2.4674774027883464,-0.0026771248798026803,-0.00021154306924161463,32
yaw,32,32,0,-0.8401741516067273,2.003568858311902,-2.0782192171865805,0.7379606716539432,-1.045457103918987,-2.385045091678304,0.8780148436142261,3.26305993529253,-2.7105675608234563,2.8377040519641197,0.744898293205958,-1.0737968334776289,-1.4675721500035521,-0.044427214649269235,32
pitch,32,32,0,1.444019440973321,0.02726068186924172,1.4400173637249,0.030229968713116163,1.4432261985801236,1.4210386356622513,1.4610989419060576,0.0400603062438063,1.3994177098783744,1.4932761645493042,0.1507970307061188,-0.947960159381358,1.4348334096010922,1.4532560954147202,32
roll,32,32,0,1.3907413742909163,1.7550798559865932,2.186646555494182,1.0719052758633312,1.677425854319696,0.6573677344703551,2.6931834504430032,2.035815715972648,-2.8010544573037226,2.988075092936803,-1.2078924520332084,0.2986511873257651,0.7011304256380286,1.9171700647724523,32
acc_mag,32,32,0,1.0564514909055647,0.6990415781050957,0.9060500919722705,0.6636473017685677,0.9947697894512564,0.7298723481452463,1.4370084490618324,0.7071361009165862,0.1302026362578616,3.385379929076835,1.135292533815707,2.118808791320731,0.8480050329338376,1.34221595049997,32
gravity_mag,32,32,0,1.0045451277806374,0.005191523128115168,1.0028497447948448,0.003081367799429692,1.003620412981436,1.0017438298125159,1.006419550185665,0.004675720373149117,0.9994658194724365,1.0234164963268655,2.162130562359327,4.981902291254212,1.0031486399419574,1.0069471015913904,32
gyro_mag,32,32,0,0.13491617780236514,0.08443428508607034,0.10325914543737819,0.08817061742501775,0.12635356142621884,0.07718508949932126,0.18004021045547336,0.1028551209561521,0.027849745254128148,0.34388347602728797,0.7829195278263403,-0.0998739682375116,0.10827106439758884,0.16828717116856215,32
