,item_total_r
1. How much were you able to control events?,0.5913268950669359
2. How responsive was the environment to actions that you initiated (or performed)?,0.4932567941988301
3. How natural did your interactions with the environment seem?,0.5019497181661727
4. How completely were all of your senses engaged?,0.332394414112271
5. How much did the visual aspects of the environment involve you?,0.26496742093887116
6. How much did the auditory aspects of the environment involve you?,0.3123478934457933
7. How natural was the mechanism which controlled movement through the environment?,0.3964254675467012
8. How aware were you of events occurring in the real world around you?,0.23656749403847263
9. How aware were you of your display and control devices?,0.433338078671228
10. How compelling was your sense of objects moving through space?,0.421086760622063
11. How inconsistent or disconnected was the information coming from your various senses?,-0.3054108077884987
12. How much did your experiences in the virtual environment seem consistent with your real-world experiences?,0.41221953894911995
13. Were you able to anticipate what would happen next in response to the actions that you performed?,0.31517625430446994
14. How completely were you able to actively survey or search the environment using vision?,0.3782304086463988
15. How well could you identify sounds?,0.5399833133977294
16. How well could you localize sounds?,0.5674805841664822
17. How well could you actively survey or search the virtual environment using touch?,0.703787298150745
18. How compelling was your sense of moving around inside the virtual environment?,0.5072908299540566
19. How closely were you able to examine objects?,0.5655615774780279
20. How well could you examine objects from multiple viewpoints?,0.6549009867725742
21. How well could you move or manipulate objects in the virtual environment?,0.7279490329720045
22. To what degree did you feel confused or disoriented at the beginning of breaks or at the end of the experimental session?,-0.19191199051559352
23. How involved were you in the virtual environment experience?,0.31408290821442886
24. How distracting was the control mechanism?,-0.1598313784201704
25. How much delay did you experience between your actions and expected outcomes?,-0.011043605305209035
26. How quickly did you adjust to the virtual environment experience?,0.42386586933986786
27. How proficient in moving and interacting with the virtual environment did you feel at the end of the experience?,0.43987624017574645
28. How much did the visual display quality interfere or distract you from performing assigned tasks or required activities?,-0.03812455623134708
29. How much did the control devices interfere with the performance of assigned tasks or with other activities?,-0.024238437736880378
30. How well could you concentrate on the assigned tasks or required activities rather than on the mechanisms used to perform those tasks or activities?,0.27800714743986754
31. Did you learn new techniques that enabled you to improve your performance?,0.394397072689932
32. Were you involved in the experimental task to the extent that you lost track of time?,0.296621730977338
