participant_id,n_items_used,n_items_total,score_mean
1,32,32,3.09375
2,32,32,3.34375
3,32,32,4.71875
4,32,32,4.46875
5,32,32,4.5625
6,32,32,3.65625
7,32,32,3.21875
8,32,32,4.59375
9,32,32,4.34375
10,32,32,3.96875
11,32,32,3.21875
12,32,32,3.9375
13,32,32,4.03125
14,32,32,3.8125
15,32,32,5.65625
16,16,32,4.0
17,32,32,3.8125
18,32,32,4.15625
19,32,32,3.0
20,32,32,4.46875
21,32,32,3.5625
22,32,32,3.96875
23,0,32,
24,16,32,5.0625
25,32,32,3.71875
26,32,32,3.46875
28,32,32,4.4375
29,32,32,3.40625
30,32,32,3.625
31,32,32,5.78125
32,32,32,3.5
33,32,32,3.28125
34,32,32,3.71875
35,16,32,4.25
36,32,32,3.78125
37,32,32,3.125
38,16,32,3.5625
39,32,32,2.96875
40,32,32,3.25
41,32,32,2.90625
42,32,32,3.4375
43,0,32,
44,32,32,4.09375
45,32,32,4.28125
46,0,32,
48,32,32,3.5
